Product Family,Product Of (Primary Service),Primary Service Category,Product Vendor,Internal Product Name,Pricing Methodology,Proposal Product Name,MeridianLink Consumer Discount Module (Y/N),One Time Fee,NSItemID - OneTime,Annual Fee,NSItemID-Annual,Per Transaction Fee,NSItemID-Transaction,NSItemID-Overage,NSItemID-Commitment,Managed Services ACV (Y/N),Monthly Minimum Commitment ($),Internal Notes for Sales,External Notes for Customer, Product Description ,Additional Accounting Items to Add," Logic
[e.g., 1 AND (2 OR 3)] "," Constraint #1
Dependent or Exclusion "," Constraint #1
Description (Please Explain) "," Constraint #2
Dependent or Exclusion "," Constraint #2
Description (Please Explain) "," Constraint #3
Dependent or Exclusion "," Constraint #3
Description (Please Explain) "," Constraint #4
Dependent or Exclusion "," Constraint #4
Description (Please Explain) ",Product Category
SHARED,MeridianLink Consumer/Opening,Add On - Indirect Lead,BidWizer,BidWizer (Consumer),Standard,BidWizer,N,3300,SHARED-0642,2400.0,SHARED-0643,,,,,,,Post-approval only integration. No loan origination or decisioning occurs within BidWizer.,Enables borrowers to complete vehicle selection after loan approval and return finalized deal details directly into MeridianLink.,,,1.0,Dependent,"""Requires pre-approved loan and valid Loan Number
BidWizer cannot perform application intake, prequalification, or credit decisioning
MeridianLink remains system of record for underwriting and funding""",,,,,,,Add Ons
SHARED,MeridianLink Collect,Add On - Core Integration,JHA,Jack Henry 20/20 (Collect) EIP,Standard,Jack Henry 20/20 EIP,N,2000,SHARED-0648,5000.0,SHARED-0649,,,,,,,,,,,,,,,,,,,,Add Ons
SHARED,MeridianLink Collect,Add On - Core Integration,JHA,Jack Henry CoreDirector (Collect) EIP,Standard,Jack Henry CoreDirector EIP,N,2000,SHARED-0648,5000.0,SHARED-0649,,,,,,,,,,,,,,,,,,,,Add Ons
SHARED,MeridianLink Collect,Add On - Core Integration,JHA,Jack Henry Silverlake (Collect) EIP,Standard,Jack Henry Silverlake EIP,N,2000,SHARED-0648,5000.0,SHARED-0649,,,,,,,,,,,,,,,,,,,,Add Ons
SHARED,MeridianLink Collect,Add On - Core Integration,JHA,Jack Henry Symitar (Collect) EIP,Standard,Jack Henry Symitar EIP,N,2000,SHARED-0648,5000.0,SHARED-0649,,,,,,,,,,,,,,,,,,,,Add Ons
SHARED,MeridianLink Mortgage,Add On - Core Integration,JHA,Jack Henry 20/20 (Mortgage) EIP,Standard,Jack Henry 20/20 EIP,N,17000,SHARED-0648,10250.0,SHARED-0649,,,,,,,,,,,,,,,,,,,,Add Ons
SHARED,MeridianLink Mortgage,Add On - Core Integration,JHA,Jack Henry CoreDirector (Mortgage) EIP,Standard,Jack Henry CoreDirector EIP,N,17000,SHARED-0648,10250.0,SHARED-0649,,,,,,,,,,,,,,,,,,,,Add Ons
SHARED,MeridianLink Mortgage,Add On - Core Integration,JHA,Jack Henry Silverlake (Mortgage) EIP,Standard,Jack Henry Silverlake EIP,N,17000,SHARED-0648,10250.0,SHARED-0649,,,,,,,,,,,,,,,,,,,,Add Ons
SHARED,MeridianLink Mortgage,Add On - Core Integration,JHA,Jack Henry Symitar (Mortgage) EIP,Standard,Jack Henry Symitar EIP,N,17000,SHARED-0648,10250.0,SHARED-0649,,,,,,,,,,,,,,,,,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Disbursement,FiServ,Fiserv DNA Disbursements - EIP,Standard,Fiserv DNA Disbursements,N,4900,CONS-0651,,,,,,,,,,,,,,,,,,,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Disbursement,JHA,Jack Henry Symitar Disbursement - EIP,Standard,Jack Henry Symitar,N,4900,CONS-0650,,,,,,,,,,,,,,,,,,,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Disbursement,Wycom,Wycom -EIP,Standard,Wycom,N,0,CONS-0649,,,,,,,,,,,,,,,,,,,,,,Add Ons
SHARED,MeridianLink Consumer/Opening,Add On - Core Integration,JHA,Jack Henry 20/20 (Consumer) EIP,Standard,Jack Henry 20/20 EIP,N,17000,SHARED-0648,10250.0,SHARED-0649,,,,,,,,,,,,,,,,,,,,Add Ons
SHARED,MeridianLink Consumer/Opening,Add On - Core Integration,JHA,Jack Henry CoreDirector (Consumer) EIP,Standard,Jack Henry CoreDirector EIP,N,17000,SHARED-0648,10250.0,SHARED-0649,,,,,,,,,,,,,,,,,,,,Add Ons
SHARED,MeridianLink Consumer/Opening,Add On - Core Integration,JHA,Jack Henry Silverlake (Consumer) EIP,Standard,Jack Henry Silverlake EIP,N,17000,SHARED-0648,10250.0,SHARED-0649,,,,,,,,,,,,,,,,,,,,Add Ons
SHARED,MeridianLink Consumer/Opening,Add On - Core Integration,JHA,Jack Henry Symitar (Consumer) EIP,Standard,Jack Henry Symitar EIP,N,17000,SHARED-0648,10250.0,SHARED-0649,,,,,,,,,,,,,,,,,,,,Add Ons
